Gamma300_meV,delta_xx_meV,config,g2_q,g2_p,t_x,eps,rho2
6.6,6.0,cav,0.13370988473117051,0.30457140435887997,0.3586555478038654,0.25542268107839916,0.9469638780580725
6.6,6.5,cav,0.12285881492660888,0.2724600103883874,0.3586555478038654,0.2193469204728496,0.9469638780580725
6.6,7.0,cav,0.11383885365622837,0.2453645089926797,0.3586555478038654,0.18978798127697583,0.9469638780580725
6.6,7.5,cav,0.10641457430394985,0.22278665019066357,0.3586555478038654,0.16574330299398635,0.9469638780580725
6.6,8.0,cav,0.10022849109458243,0.2037833620023134,0.3586555478038654,0.14590139390059306,0.9469638780580725
8.0,1.0,slit,nan,0.9650392901171544,0.49506724371594824,1.1781818327944014,0.23475862458507643
8.0,1.5,slit,nan,0.9618502553021517,0.49506724371594824,1.1459082706397294,0.23475862458507643
8.0,2.0,slit,nan,0.957137383216121,0.49506724371594824,1.0997878308255826,0.23475862458507643
8.0,2.5,slit,nan,0.9507477781628311,0.49506724371594824,1.0400312803677334,0.23475862458507643
8.0,3.0,slit,0.8305566613244755,0.942534208197172,0.49506724371594824,0.9674525509132231,0.23475862458507643
8.0,3.5,slit,0.8259020471107728,0.9323635979442908,0.49506724371594824,0.883422423252872,0.23475862458507643
8.0,4.0,slit,0.8207255177268127,0.9206181379393654,0.49506724371594824,0.7933785372942705,0.23475862458507643
8.0,4.5,slit,0.815233661896229,0.9076553007403158,0.49506724371594824,0.7014992239384419,0.23475862458507643
8.0,5.0,slit,0.8097205824399298,0.8941200208805826,0.49506724371594824,0.6127750642605448,0.23475862458507643
8.0,5.5,slit,0.8044016243907431,0.8805621827560532,0.49506724371594824,0.530277259768343,0.23475862458507643
8.0,6.0,slit,0.7995912268840608,0.867875532875468,0.49506724371594824,0.458122031247585,0.23475862458507643
8.0,6.5,slit,0.7953171410572105,0.8562620904959514,0.49506724371594824,0.3958546587172004,0.23475862458507643
8.0,7.0,slit,0.791605100289793,0.8459134524600112,0.49506724371594824,0.34311239337941296,0.23475862458507643
8.0,7.5,slit,0.7883896662012405,0.8367508332375562,0.49506724371594824,0.2983875538852472,0.23475862458507643
8.0,8.0,slit,0.7856893232758346,0.8289128315764007,0.49506724371594824,0.2614918227010741,0.23475862458507643
